City,Latitude,Longitude
Kyiv,50.4503596,30.5245025
Kharkiv,50.00201269999999,36.3073994
Odesa,46.4702111,30.7306393
Dnipro,48.464717,35.046183
Lviv,49.839683,24.029717
Zaporizhzhia,47.83928419999999,35.13870970000001
Vinnytsia,49.233083,28.468217
Donetsk,48.015883,37.80285
Luhansk,48.56872389999999,39.3152291
Mariupol,47.097133,37.543367
Mykolaiv,46.9660801,32.003246
Poltava,49.58826699999999,34.551417
Chernihiv,51.4982,31.28935
Sumy,50.9077,34.7981
Ivano-Frankivsk,48.9200616,24.7089157
Ternopil,49.55104439999999,25.5952184
Chernivtsi,48.2924827,25.9356008
Rivne,50.6190674,26.2521127
Kherson,46.635417,32.616867
Kryvyi Rih,47.910483,33.391783
Zhytomyr,50.2615588,28.6666776
Uzhhorod,48.6208,22.287883
